id,latitude,longitude,scientific_name,common_name,taxon_class_name,taxon_genus_name
68107815,38.546258051,-121.7344899103,Sayornis nigricans,Black Phoebe,Aves,Sayornis
68118545,38.5465965779,-121.7346052453,Zonotrichia leucophrys,White-crowned Sparrow,Aves,Zonotrichia
68177486,38.54710998,-121.78028256,Haemorhous mexicanus,House Finch,Aves,Haemorhous
68177497,38.5471262,-121.78027832,Haemorhous mexicanus,House Finch,Aves,Haemorhous
68177503,38.54709414,-121.77888831,Callianthe picta,Redvein Abutilon,Magnoliopsida,Callianthe
68177572,38.54888975,-121.78109025,Zonotrichia leucophrys,White-crowned Sparrow,Aves,Zonotrichia
68177586,38.54896243,-121.78082952,Mimus polyglottos,Northern Mockingbird,Aves,Mimus
68189575,38.5533825147,-121.7362475046,Anser caerulescens,Snow Goose,Aves,Anser
68189576,38.5539362725,-121.735678884,Anser caerulescens,Snow Goose,Aves,Anser
68208497,38.5568416667,-121.6944883333,Carduus pycnocephalus,Italian thistle,Magnoliopsida,Carduus
68224559,38.55482501,-121.78828642,Tradescantia pallida,Purple heart,Liliopsida,Tradescantia
68233369,38.5702381925,-121.7254313918,Spinus psaltria,Lesser Goldfinch,Aves,Spinus
68233371,38.5702381925,-121.7254313918,Zonotrichia leucophrys,White-crowned Sparrow,Aves,Zonotrichia
68233373,38.5702381925,-121.7254313918,Zonotrichia leucophrys,White-crowned Sparrow,Aves,Zonotrichia
68233374,38.5702381925,-121.7254313918,Zenaida macroura,Mourning Dove,Aves,Zenaida
68233375,38.5702381925,-121.7254313918,Colaptes auratus,Northern Flicker,Aves,Colaptes
68233376,38.5702381925,-121.7254313918,Haemorhous mexicanus,House Finch,Aves,Haemorhous
68233377,38.5702381925,-121.7254313918,Haemorhous mexicanus,House Finch,Aves,Haemorhous
68233378,38.5702381925,-121.7254313918,Haemorhous mexicanus,House Finch,Aves,Haemorhous
68233380,38.5702381925,-121.7254313918,Setophaga coronata,Yellow-rumped Warbler,Aves,Setophaga
68233381,38.5702381925,-121.7254313918,Haemorhous mexicanus,House Finch,Aves,Haemorhous
68233382,38.5702381925,-121.7254313918,Zenaida macroura,Mourning Dove,Aves,Zenaida
68233384,38.5702381925,-121.7254313918,Zenaida macroura,Mourning Dove,Aves,Zenaida
68233385,38.5702381925,-121.7254313918,Zonotrichia leucophrys,White-crowned Sparrow,Aves,Zonotrichia
68233386,38.5702381925,-121.7254313918,Zenaida macroura,Mourning Dove,Aves,Zenaida
68233388,38.5702381925,-121.7254313918,Aphelocoma californica,California Scrub-Jay,Aves,Aphelocoma
68233893,38.5702696545,-121.7254084164,Zonotrichia leucophrys,White-crowned Sparrow,Aves,Zonotrichia
68233894,38.5702696545,-121.7254084164,Zenaida macroura,Mourning Dove,Aves,Zenaida
68244747,38.5684250767,-121.7619776073,Baccharis pilularis,coyote brush,Magnoliopsida,Baccharis
68260950,38.5652990527,-121.7635787961,Orthosia hibisci,Speckled Green Fruitworm Moth,Insecta,Orthosia
68334107,38.5569005613,-121.7102712393,Coprinus comatus,Shaggy Mane,Agaricomycetes,Coprinus
68355301,38.5561495112,-121.7340158106,Vicia faba,fava bean,Magnoliopsida,Vicia
68358556,38.565945,-121.7657616667,Coccinella septempunctata,Seven-spotted Lady Beetle,Insecta,Coccinella
68358693,38.5653044185,-121.76358323,Feltia subterranea,Subterranean Dart,Insecta,Feltia
68358694,38.5653044185,-121.76358323,Spodoptera praefica,Western Yellow-striped Armyworm Moth,Insecta,Spodoptera
